category_name,category_description
Televisions,High-definition TVs for your entertainment
Home Appliances,Essential appliances for your home
Air Conditioners,Cooling solutions for your home
Refrigerators,Keep your food fresh and cool
Washing Machines,Efficient washing machines for your laundry
Kitchen Appliances,Appliances to make your kitchen tasks easier
Small Appliances,Convenient small appliances for daily use
Personal Care,Products for your personal grooming and care
Audio & Video,High-quality audio and video equipment
Computers & Tablets,Latest computers and tablets for work and play
Mobile Phones,Smartphones with advanced features
Cameras,Capture moments with high-quality cameras
Gaming,Gaming consoles and accessories for gamers
Accessories,Various accessories for your electronic devices
